problemlog_id,assignment_id,sequence_id,user_id,ARRS,assistment_id,problem_id,sequence_opp,assignment_opp,ARRS-check(oneMeansFirstWeek-TwomeansOneweekLater-threemeanstwoweeksafterthat),correct,hint_count,attempt_count,first_response_time,overlap_time,cluster,pretest,posttest,avg_initial_three_correctness,avg_initial_#problems_to_master,avg_first_reassess
40790855,297282,5959,75063,0,34310,53621,1,1,1,0,0,1,13260,13353,0,0,1,0.671794872,6.323529412,0.684210526
40790864,297282,5959,75063,0,34289,53537,2,2,1,1,0,1,4820,4820,0,0,1,0.671794872,6.323529412,0.684210526
40790866,297282,5959,75063,0,34295,53561,3,3,1,1,0,1,8340,8340,0,0,1,0.671794872,6.323529412,0.684210526
40790867,297282,5959,75063,0,34338,53733,4,4,1,1,0,1,10758,10758,0,0,1,0.671794872,6.323529412,0.684210526
40897310,299510,5959,75063,0,34329,53697,5,1,2,1,0,0,10,10,1,0,1,0.671794872,6.323529412,0.684210526
41275548,305320,5959,75063,0,34288,53533,6,1,3,0,0,0,0,110,2,0,1,0.671794872,6.323529412,0.684210526
41275576,305320,5959,75063,0,34290,53541,7,2,3,1,0,1,11887,11887,2,0,1,0.671794872,6.323529412,0.684210526
41275578,305320,5959,75063,0,34343,53753,8,3,3,1,0,1,8377,8377,2,0,1,0.671794872,6.323529412,0.684210526
41275582,305320,5959,75063,0,34322,53669,9,4,3,1,0,1,13525,13525,2,0,1,0.671794872,6.323529412,0.684210526
41467145,310106,5959,75063,0,34313,53633,10,1,4,1,0,0,32,32,3,0,1,0.671794872,6.323529412,0.684210526
39588752,292963,5962,75063,1,34563,54003,1,1,1,0,0,1,43758,43805,0,0,1,0.671794872,6.323529412,0.684210526
39589009,292963,5962,75063,1,34578,54063,2,2,1,0,0,1,38314,38360,0,0,1,0.671794872,6.323529412,0.684210526
39589352,292963,5962,75063,1,34576,54055,3,3,1,1,0,1,15241,15241,0,0,1,0.671794872,6.323529412,0.684210526
39589383,292963,5962,75063,1,34577,54059,4,4,1,1,0,1,19484,19484,0,0,1,0.671794872,6.323529412,0.684210526
